time,member,sales,delta
2026-06-25T03:07:13.208817+00:00,OffLine,463,
2026-06-25T03:07:13.208817+00:00,VideoCall·COMPACT Ver.,509,
2026-06-25T03:07:24.106928+00:00,OffLine,463,0
2026-06-25T03:07:24.106928+00:00,VideoCall·COMPACT Ver.,509,0
2026-06-25T03:07:34.791720+00:00,OffLine,463,0
2026-06-25T03:07:34.791720+00:00,VideoCall·COMPACT Ver.,509,0
2026-06-25T03:07:45.707480+00:00,OffLine,463,0
2026-06-25T03:07:45.707480+00:00,VideoCall·COMPACT Ver.,509,0
2026-06-25T03:07:56.625849+00:00,OffLine,463,0
2026-06-25T03:07:56.625849+00:00,VideoCall·COMPACT Ver.,509,0
2026-06-25T03:08:06.994169+00:00,OffLine,463,0
2026-06-25T03:08:06.994169+00:00,VideoCall·COMPACT Ver.,509,0
2026-06-25T03:08:17.901410+00:00,OffLine,463,0
2026-06-25T03:08:17.901410+00:00,VideoCall·COMPACT Ver.,509,0
